id,id,cause_of_death,region_origin,affected_nationality,missing,dead,incident_region,date,source,reliability,lat,lon,nationalities,causes
44177,44177,Drowning,Central America,Guatemala,0.0,1.0,U.S./Mexico Border,2016-04-04,Expreso.press,Partially Verified,27.47584794,-99.4822801,['Guatemala'],['Drowning/Asphyxiation']
44577,44577,Drowning,Central America & Mexico,Salvadoran,0.0,1.0,U.S./Mexico Border,2015-10-20,Zocalo Saltillo,Partially Verified,27.48002159,-99.47940771,['El Salvador'],['Drowning/Asphyxiation']
44578,44578,Drowning,Unknown,Reported as unspecified nationals of Africa,0.0,9.0,Mediterranean,2016-03-30,IOM Italy,Partially Verified,31.55453191,30.6550957,['Unknown'],['Drowning/Asphyxiation']
44580,44580,Drowning,Horn of Africa,Unknown,0.0,20.0,Horn of Africa,2016-02-28,UNHCR,Verified,12.92413692,43.17494672,['Unknown'],['Drowning/Asphyxiation']
44581,44581,Drowning,Horn of Africa,Unknown,0.0,4.0,Horn of Africa,2016-02-29,UNHCR,Verified,12.69916871,43.361714299999996,['Unknown'],['Drowning/Asphyxiation']
44582,44582,Hit by vehicle,Central America & Mexico,Unknown,0.0,1.0,Central America & Mexico,2015-04-19,AM León (Mexico),Partially Verified,20.53857306,-101.45553249999999,['Unknown'],['Vehicular/Mechanical']
44583,44583,Drowning,Central America & Mexico,Mexican,0.0,1.0,U.S./Mexico Border,2015-10-20,Zocalo Saltillo,Partially Verified,27.49129071,-99.49022237,['Mexico'],['Drowning/Asphyxiation']
44584,44584,drowning,Central America,Mexican,0.0,1.0,U.S./Mexico Border,2015-07-28,La Jornada,Partially Verified,27.46370142,-99.48592791,['Mexico'],['Drowning/Asphyxiation']
44585,44585,Drowning,Central America,Mexican,0.0,1.0,U.S./Mexico Border,2015-08-13,El Manana,Partially Verified,31.31935949,-110.3098935,['Mexico'],['Drowning/Asphyxiation']
44586,44586,drowning,Central America,Mexican,0.0,2.0,U.S./Mexico Border,2015-11-27,Codigo San Luis,Partially Verified,26.10474817,-98.28880787,['Mexico'],['Drowning/Asphyxiation']
44587,44587,Mixed,Central America & Mexico,Mixed,0.0,145.0,U.S./Mexico Border,2015-12-30,County sheriffs and medical examiners,Verified,31.2504392,-99.25060627,['Unknown'],['Unknown']
44588,44588,Mixed,Central America & Mexico,Mixed,0.0,139.0,U.S./Mexico Border,2015-12-30,Pima County Office of the Medical Examiner,Verified,34.50029832,-111.50097620000001,['Unknown'],['Unknown']
44589,44589,Mixed,Central America & Mexico,Mixed,0.0,10.0,U.S./Mexico Border,2015-12-30,Imperial County sheriff,Verified,33.03337899,-115.41747820000002,['Unknown'],['Unknown']
44978,44978,drowning,Central America,Salvadoran,0.0,1.0,U.S./Mexico Border,2015-10-17,La Jornada,Partially Verified,27.46910851,-99.48318133,['El Salvador'],['Drowning/Asphyxiation']
44979,44979,drowning,South America,Ecuadorian,0.0,1.0,U.S./Mexico Border,2015-11-19,@HS_Barboza,Partially Verified,29.33739146,-100.9412275,['Ecuador'],['Drowning/Asphyxiation']
44980,44980,drowning,Central America,Honduras,0.0,1.0,U.S./Mexico Border,2015-12-23,Noticias de Honduras,Partially Verified,27.4999466,-99.50051912,['Honduras'],['Drowning/Asphyxiation']
45377,45377,Drowning,Central America & Mexico,Unknown,0.0,1.0,U.S./Mexico Border,2016-02-18,La Tarde,Partially Verified,26.40391927,-99.01896683,['Unknown'],['Drowning/Asphyxiation']
45378,45378,Drowning,Central America & Mexico,Unknown,0.0,1.0,U.S./Mexico Border,2016-03-19,KrisTV,Partially Verified,26.17526523,-98.36396153,['Unknown'],['Drowning/Asphyxiation']
45777,45777,,Central America,Unknown,0.0,1.0,U.S./Mexico Border,2016-03-26,La Tarde,Partially Verified,27.19879237,-98.14177354,['Unknown'],['Unknown']
45778,45778,Hypothermia,Central America & Mexico,Mexico,0.0,1.0,U.S./Mexico Border,2016-01-28,Radio Zocalo,Partially Verified,28.72143262,-100.5076988,['Mexico'],['Exposure']
46178,46178,Drowning,Unknown,Unknown,4.0,5.0,Mediterranean,2016-04-08,"Reuters, Hellenic Coast Guard",Partially Verified,37.81799381,26.77368849,['Unknown'],['Drowning/Asphyxiation']
46577,46577,Hit by truck,South Asia,Afghan,0.0,1.0,Europe,2015-10-13,Daily Mail,Verified,51.299076,0.516879735,['Afghanistan'],['Vehicular/Mechanical']
46578,46578,Drowning,Unknown,Unknown,0.0,1.0,U.S./Mexico Border,2016-04-06,MiMorelia,Partially Verified,31.74439719,-106.4883517,['Unknown'],['Drowning/Asphyxiation']
46977,46977,Hit by train,Central America,Honduras,0.0,1.0,Central America & Mexico,2016-03-12,Twitter and Chanel 6,Partially Verified,19.413326100000003,-98.14357851,['Honduras'],['Vehicular/Mechanical']
47377,47377,Drowning,Unknown,Unknown,0.0,3.0,Mediterranean,2016-04-10,EcoDiario.es,Partially Verified,33.27756771,11.35302432,['Unknown'],['Drowning/Asphyxiation']
47777,47777,Fell from train,Central America,Honduras,0.0,1.0,Central America & Mexico,2016-01-10,NOAT Agencia de Noticias,Partially Verified,18.12580339,-94.49065826,['Honduras'],['Vehicular/Mechanical']
47778,47778,Hit by train,Central America,Honduras,0.0,1.0,Central America & Mexico,2016-04-08,El Informante de Veracruz,Partially Verified,18.83233028,-97.12931857,['Honduras'],['Vehicular/Mechanical']
47779,47779,Drowning,Unknown,Unknown,0.0,4.0,Mediterranean,2016-04-11,"IOM Tunisia, Espace Manager",Partially Verified,33.19866135,11.48757928,['Unknown'],['Drowning/Asphyxiation']
48178,48178,Car accident,Central America,Mexico,0.0,1.0,U.S./Mexico Border,2016-04-08,El Bravo,Partially Verified,32.72531833,-114.6243965,['Mexico'],['Vehicular/Mechanical']
48577,48577,Shot,Central America,Guatemala,0.0,1.0,Central America & Mexico,2016-04-08,Prensa Libre,Partially Verified,14.78041763,-91.27819372,['Guatemala'],['Violence/Homicide']
48978,48978,Hyperthermia,Central America & Mexico,Honduras,0.0,1.0,Central America & Mexico,2016-01-08,El Heroico,Partially Verified,17.266665600000003,-90.99999891,['Honduras'],['Exposure']
48979,48979,Unknown (found dead near train tracks),Central America,Unknown,0.0,1.0,Central America & Mexico,2016-03-18,Telediario,Partially Verified,21.06534074,-101.63343809999999,['Unknown'],"['Vehicular/Mechanical', 'Unknown']"
49377,49377,Drowning,MENA,Syria,0.0,1.0,Mediterranean,2016-04-14,Daily Star,Partially Verified,38.45484192,27.05853886,['Syria'],['Drowning/Asphyxiation']
49777,49777,Hit by vehicle,Central America & Mexico,Mexico,0.0,1.0,U.S./Mexico Border,2016-03-18,"South Austin Patch, Guanajuato Informa",Partially Verified,30.25210496,-97.7358722,['Mexico'],['Vehicular/Mechanical']
50577,50577,"AH1N1 influenza virus, while stuck at border",Caribbean,Cuba,0.0,1.0,Central America & Mexico,2016-01-03,AFP,Partially Verified,9.370277058,-82.91137395,['Cuba'],['Medical/Illness']
50978,50978,Drowning,Central America & Mexico,El Salvador,0.0,1.0,Central America & Mexico,2015-10-13,102Nueve,Partially Verified,26.10209127,-98.30425898,['El Salvador'],['Drowning/Asphyxiation']
51377,51377,Hit by train,Central America,Unknown,0.0,1.0,Central America & Mexico,2015-09-09,LMTenEspañol,Partially Verified,27.46166501,-99.69148329,['Unknown'],['Vehicular/Mechanical']
51778,51778,Drowning,Mixed,Unknown,24.0,8.0,Mediterranean,2016-04-16,IOM Rome,Partially Verified,35.57684837,12.81494549,['Unknown'],['Drowning/Asphyxiation']
51779,51779,Drowning,Unknown,"Egypt (est.80), Ethiopia (est.150), Somalia (est.190), Sudan, Syria",459.0,0.0,Mediterranean,2016-04-08,"IOM Greece, Reuters",Partially Verified,32.63577598,25.59686922,"['Egypt', 'Ethiopia', 'Somalia', 'Sudan', 'Syria']",['Drowning/Asphyxiation']
52177,52177,Unknown (found dead near train tracks),Central America & Mexico,Honduras,0.0,1.0,Central America & Mexico,2016-02-13,Central Noticias,Partially Verified,17.997936199999998,-94.63541982,['Honduras'],"['Vehicular/Mechanical', 'Unknown']"
52179,52179,Unknown (found dead near train tracks),Central America,Unknown,0.0,1.0,Central America & Mexico,2016-03-20,TV Noticias La Pacoyan,Partially Verified,19.04581672,-96.42113586,['Unknown'],"['Vehicular/Mechanical', 'Unknown']"
52181,52181,Drowning,Caribbean,Cuban,0.0,2.0,Central America & Mexico,2014-08-31,Notitarde,Partially Verified,21.89736409,-88.38476402,['Cuba'],['Drowning/Asphyxiation']
52578,52578,Mixed,Central America & Mexico,Various,0.0,147.0,U.S./Mexico Border,2014-12-29,US Border Patrol,Verified,29.74673786,-101.4090141,['Unknown'],['Unknown']
53377,53377,Drowning,Mixed,Unknown,0.0,12.0,Mediterranean,2016-03-25,Ultime Notizie,Partially Verified,32.78153382,13.86480596,['Unknown'],['Drowning/Asphyxiation']
53777,53777,Murdered,Middle East / South Asia,Egypt,0.0,13.0,North Africa,2016-04-26,IOM Libya,Verified,31.75661729,13.99421962,['Egypt'],['Violence/Homicide']
54177,54177,Drowning,Central America,Unknown,0.0,1.0,U.S./Mexico Border,2016-04-23,La Tarde,Partially Verified,26.09999596,-98.28074982,['Unknown'],['Drowning/Asphyxiation']
54577,54577,Drowning,Sub-Saharan Africa,Unknown,84.0,0.0,Mediterranean,2016-04-28,"IOM Italy, BBC",Verified,32.84066678,12.57393361,['Unknown'],['Drowning/Asphyxiation']
54578,54578,Drowning,Sub-Saharan Africa,"Nigeria, Ivory Coast, Guinea, Sudan, Mali",18.0,2.0,Mediterranean,2016-04-28,International Business Times,Partially Verified,33.94251763,13.610425,"[""Cote d'Ivoire"", 'Guinea', 'Mali', 'Nigeria', 'Sudan']",['Drowning/Asphyxiation']
54579,54579,Drowning,Sub-Saharan Africa,Unknown,9.0,0.0,Mediterranean,2016-04-28,IOM Rome,Partially Verified,33.09874441,12.30167866,['Unknown'],['Drowning/Asphyxiation']
54977,54977,,Central America,Honduras,0.0,1.0,Central America & Mexico,2016-01-29,vTV,Partially Verified,19.42846726,-99.12765918,['Honduras'],['Unknown']
54978,54978,Drowning,Sub-Saharan Africa,Madagascar,2.0,5.0,Sub-Saharan Africa,2016-04-30,"IOM Madagascar, LINFO.re",Partially Verified,-13.06887851,45.66105071,['Madagascar'],['Drowning/Asphyxiation']
54979,54979,Drowning,Central America,Unknown,0.0,1.0,U.S./Mexico Border,2016-05-02,Reporte Zocalo,Partially Verified,28.71425559,-100.5079314,['Unknown'],['Drowning/Asphyxiation']
54980,54980,,Central America,Unknown,0.0,1.0,Central America & Mexico,2015-07-01,Cinco Radio,Partially Verified,19.42101625,-98.14254854,['Unknown'],['Unknown']
54981,54981,Drowning,Central America & Mexico,Unknown,0.0,1.0,U.S./Mexico Border,2016-05-02,El Manana,Partially Verified,26.08258918,-98.25958409999998,['Unknown'],['Drowning/Asphyxiation']
55377,55377,Drowning,Central America,Mexico,0.0,1.0,U.S./Mexico Border,2016-04-28,LaTarde,Partially Verified,25.88332897,-97.49759286,['Mexico'],['Drowning/Asphyxiation']
55378,55378,,Caribbean,Dominican Republic,0.0,1.0,Central America & Mexico,2015-03-28,Pulso,Partially Verified,23.69276054,-100.6252764,['Dominican Republic'],['Unknown']
55379,55379,Heart Attack,Central America,Unknown,0.0,1.0,Central America & Mexico,2015-12-10,Milenio,Partially Verified,25.51060277,-103.4603603,['Unknown'],['Medical/Illness']
55777,55777,,Central America,El Salvador,0.0,1.0,Central America & Mexico,2015-12-27,Quadratin Queretaro,Partially Verified,14.89318917,-92.27541019,['El Salvador'],['Unknown']
56177,56177,gang violence (body dismembered),Central America & Mexico,Honduras,0.0,1.0,U.S./Mexico Border,2015-08-09,UnoTV,Partially Verified,28.72335995,-100.56696,['Honduras'],['Violence/Homicide']
56178,56178,Shot,MENA,Syria,0.0,1.0,Middle East,2016-03-19,Human Rights Watch,Partially Verified,35.83599292,36.16940198,['Syria'],['Violence/Homicide']
56179,56179,Beat-up and killed,Middle East,Syria,0.0,1.0,Middle East,2016-03-27,Human Rights Watch,Partially Verified,35.83905449,36.17386517,['Syria'],"['Violence/Homicide', 'Medical/Illness']"
56577,56577,Hit by vehicle,South Asia,Pakistan,0.0,1.0,Europe,2016-05-08,AP,Partially Verified,50.9321361,1.8955553569999999,['Pakistan'],['Vehicular/Mechanical']
56977,56977,Shot,MENA,Syria,0.0,1.0,Middle East,2016-04-13,Human Rights Watch,Partially Verified,35.86604691,36.18176159,['Syria'],['Violence/Homicide']
56978,56978,Shot,MENA,Syria,0.0,2.0,Middle East,2016-04-16,Human Rights Watch,Partially Verified,35.88718919,36.17764172,['Syria'],['Violence/Homicide']
57377,57377,Vehicle accident,Central America & Mexico,Reported as unspecified nationals of Honduras and Guatemala,0.0,4.0,Central America & Mexico,2015-07-04,El Universal,Partially Verified,16.35781146,-94.75846827,"['Guatemala', 'Honduras']",['Vehicular/Mechanical']
57777,57777,Unknown (skeletal remains),Unknown,Unknown,0.0,1.0,U.S./Mexico Border,2016-01-04,Pima County Office of the Medical Examiner,Verified,31.413870000000003,-111.00431,['Unknown'],['Unknown']
57778,57778,Unknown (skeletal remains),Unknown,Unknown,0.0,1.0,U.S./Mexico Border,2016-01-04,Pima County Office of the Medical Examiner,Partially Verified,31.9148,-112.54042,['Unknown'],['Unknown']
57779,57779,"Exposure, Hypothermia",Central America & Mexico,Guatemala,0.0,1.0,U.S./Mexico Border,2016-01-08,Pima County Office of the Medical Examiner,Verified,32.15383063,-111.23503259999998,['Guatemala'],['Exposure']
57780,57780,,Central America,Unknown,0.0,1.0,U.S./Mexico Border,2016-01-16,Pima County Office of the Medical Examiner,Verified,32.94781908,-112.71682679999999,['Unknown'],['Unknown']
57781,57781,Unknown (skeletal remains),Central America & Mexico,Mexico,0.0,1.0,U.S./Mexico Border,2016-01-24,Pima County Office of the Medical Examiner,Verified,31.8769,-111.78898000000001,['Mexico'],['Unknown']
57782,57782,Unknown (skeletal remains),Central America & Mexico,Unknown,0.0,1.0,U.S./Mexico Border,2016-01-25,Pima County Office of the Medical Examiner,Verified,32.29187,-113.1067,['Unknown'],['Unknown']
57783,57783,Unknown (skeletal remains),Central America,Unknown,0.0,1.0,U.S./Mexico Border,2016-01-25,Pima County Office of the Medical Examiner,Verified,31.953459999999996,-113.05898,['Unknown'],['Unknown']
57784,57784,Unknown (skeletal remains),Unknown,Unknown,0.0,1.0,U.S./Mexico Border,2016-02-22,Pima County Office of the Medical Examiner,Verified,32.63308,-112.1606,['Unknown'],['Unknown']
57785,57785,,Central America & Mexico,Mexico,0.0,1.0,U.S./Mexico Border,2016-03-06,Pima County Office of the Medical Examiner,Verified,32.151920000000004,-113.069,['Mexico'],['Unknown']
57786,57786,Unknown (skeletal remains),Central America,Unknown,0.0,1.0,U.S./Mexico Border,2016-03-17,Pima County Office of the Medical Examiner,Verified,32.23033994,-112.72159170000002,['Unknown'],['Unknown']
57787,57787,Unknown (skeletal remains),Central America,Unknown,0.0,1.0,U.S./Mexico Border,2016-03-31,Pima County Office of the Medical Examiner,Verified,32.423462,-113.13834399999999,['Unknown'],['Unknown']
57788,57788,"Exposure, Hypothermia",Central America,Unknown,0.0,1.0,U.S./Mexico Border,2016-04-06,Pima County Office of the Medical Examiner,Verified,31.95437,-112.14965,['Unknown'],['Exposure']
57789,57789,,Central America,Unknown,0.0,1.0,U.S./Mexico Border,2016-04-17,Pima County Office of the Medical Examiner,Verified,32.9074752,-112.77862490000001,['Unknown'],['Unknown']
57790,57790,,Central America,Uknown,0.0,1.0,U.S./Mexico Border,2016-04-22,Pima County Office of the Medical Examiner,Verified,32.77637925,-113.53175800000001,['Unknown'],['Unknown']
58177,58177,Unknown (skeletal remains),Central America & Mexico,Unknown,0.0,1.0,U.S./Mexico Border,2016-01-30,Pima County Office of the Medical Examiner,Verified,31.50523739,-111.49037849999999,['Unknown'],['Unknown']
58178,58178,Unknown (skeletal remains),Central America,Unknown,0.0,1.0,U.S./Mexico Border,2016-02-29,Pima County Office of the Medical Examiner,Verified,31.704,-111.85818,['Unknown'],['Unknown']
58179,58179,Unknown (skeletal remains),Central America & Mexico,Mexico,0.0,1.0,U.S./Mexico Border,2016-03-02,Pima County Office of the Medical Examiner,Verified,32.20324,-112.95431,['Mexico'],['Unknown']
58180,58180,Unknown (skeletal remains),Central America,Unknown,0.0,1.0,U.S./Mexico Border,2016-03-02,Pima County Office of the Medical Examiner,Verified,31.826717,-112.1373,['Unknown'],['Unknown']
58181,58181,Unknown (skeletal remains),Central America & Mexico,Mexico,0.0,1.0,U.S./Mexico Border,2016-03-05,Pima County Office of the Medical Examiner,Verified,32.386520000000004,-113.10316999999999,['Mexico'],['Unknown']
58182,58182,"Exposure, Hypothermia",Central America & Mexico,Mexico,0.0,1.0,U.S./Mexico Border,2016-03-06,Pima County Office of the Medical Examiner,Verified,32.2651,-113.10296000000001,['Mexico'],['Exposure']
58183,58183,Unknown (skeletal remains),Unknown,Unknown,0.0,1.0,U.S./Mexico Border,2016-03-19,Pima County Office of the Medical Examiner,Verified,32.06475944,-111.41674109999998,['Unknown'],['Unknown']
58184,58184,Unknown (skeletal remains),Central America & Mexico,Mexico,0.0,1.0,U.S./Mexico Border,2016-03-31,Pima County Office of the Medical Examiner,Verified,32.329483,-112.11561699999999,['Mexico'],['Unknown']
58185,58185,Unknown (skeletal remains),Unknown,Unknown,0.0,2.0,U.S./Mexico Border,2016-04-06,Pima County Office of the Medical Examiner,Verified,31.88803021,-111.39377069999999,['Unknown'],['Unknown']
58186,58186,Unknown (skeletal remains),Unknown,Unknown,0.0,1.0,U.S./Mexico Border,2016-04-07,Pima County Office of the Medical Examiner,Verified,31.80408,-112.10063000000001,['Unknown'],['Unknown']
58577,58577,Drowning,MENA,Egypt,0.0,1.0,Mediterranean,2016-05-15,ahram online,Partially Verified,31.46429856,30.36725358,['Egypt'],['Drowning/Asphyxiation']
58578,58578,Drowning,Horn of Africa,Somalia,0.0,1.0,Mediterranean,2016-05-15,ahram online,Partially Verified,31.43500973,30.34871415,['Somalia'],['Drowning/Asphyxiation']
58977,58977,Pulmonary complications,Caribbean,Haiti,0.0,1.0,Central America & Mexico,2016-05-14,Diario Extra,Partially Verified,11.20286127,-85.61479021,['Haiti'],['Medical/Illness']
59377,59377,,Unknown,Unknown,0.0,1.0,U.S./Mexico Border,2016-05-10,Hoy Tamaulipas,Partially Verified,27.03365639,-98.23361552,['Unknown'],['Unknown']
59378,59378,,Central America,Unknown,0.0,1.0,U.S./Mexico Border,2016-05-12,Hoy Tamaulipas,Partially Verified,26.96657045,-98.25596419,['Unknown'],['Unknown']
60177,60177,Drowning,MENA,Algeria,0.0,1.0,Mediterranean,2016-05-11,Yabiladi,Partially Verified,35.89649142,-5.306228746,['Algeria'],['Drowning/Asphyxiation']
60178,60178,,Unknown,Unknown,10.0,0.0,Mediterranean,2016-05-20,The Telegraph,Partially Verified,38.77736577,8.077144236,['Unknown'],['Unknown']
60577,60577,Drowning,Unknown,Unknown,250.0,5.0,Mediterranean,2016-05-24,IOM Italy,Partially Verified,32.95064874,12.62889855,['Unknown'],['Drowning/Asphyxiation']
60578,60578,Violent robbery,Central America,Guatemala,0.0,1.0,Central America & Mexico,2016-05-23,Diario El Sur,Partially Verified,15.34093998,-92.67558723,['Guatemala'],['Violence/Homicide']
60977,60977,Murdered,Central America,El Salvador,0.0,1.0,Central America & Mexico,2016-05-19,Cuatro Poder de Chiapas,Partially Verified,14.90695799,-92.26184894,['El Salvador'],['Violence/Homicide']
61377,61377,Drowning,Mixed,Unknown,550.0,0.0,Mediterranean,2016-05-25,IOM Italy,Verified,33.6468334,12.11195075,['Unknown'],['Drowning/Asphyxiation']
61378,61378,Burns and Suffocation,Unknown,Unknown,0.0,4.0,Mediterranean,2016-05-24,UNHCR,Verified,35.47681779999999,12.58404485,['Unknown'],"['Drowning/Asphyxiation', 'Vehicular/Mechanical']"
62177,62177,Drowning,Central America & Mexico,Mexico,0.0,1.0,U.S./Mexico Border,2015-03-05,El Manana,Partially Verified,27.62574191,-99.62659529,['Mexico'],['Drowning/Asphyxiation']
62178,62178,Drowning or suffocation in hull,Mixed,Unknown,200.0,45.0,Mediterranean,2016-05-28,IOM Italy,Verified,35.12387008,15.15257634,['Unknown'],['Drowning/Asphyxiation']
62577,62577,Presumed drowning,Mixed,Unknown,47.0,0.0,Mediterranean,2016-05-25,IOM Italy,Partially Verified,33.00516898,12.50068079,['Unknown'],['Drowning/Asphyxiation']
62977,62977,Presumed drowning,Unknown,Unknown,0.0,6.0,Mediterranean,2016-05-24,IOM Italy,Verified,35.48520638,12.61341504,['Unknown'],['Drowning/Asphyxiation']
62978,62978,Presumed drowning,Unknown,Unknown,0.0,1.0,Mediterranean,2016-05-25,IOM Italy,Verified,36.08254852,13.054795,['Unknown'],['Drowning/Asphyxiation']
62979,62979,Presumed drowning,Unknown,Unknown,0.0,1.0,Mediterranean,2016-05-27,IOM Italy,Verified,34.63006218,14.79472942,['Unknown'],['Drowning/Asphyxiation']
62980,62980,Presumed drowning,Unknown,Unknown,9.0,0.0,Mediterranean,2016-05-25,IOM Italy,Verified,36.09061728,15.36766231,['Unknown'],['Drowning/Asphyxiation']
63377,63377,Drowning,Central America,Unknown,0.0,1.0,U.S./Mexico Border,2016-05-24,El Diario,Partially Verified,28.72772095,-100.5079563,['Unknown'],['Drowning/Asphyxiation']
63777,63777,Unknown (skeletal remains),Unknown,Unknown,0.0,1.0,U.S./Mexico Border,2016-05-05,Pima County Office of the Medical Examiner,Verified,32.95333,-111.23692,['Unknown'],['Unknown']
63778,63778,Unknown (skeletal remains),Central America,Unknown,0.0,1.0,U.S./Mexico Border,2016-05-14,Pima County Office of the Medical Examiner,Verified,31.963317,-112.38265,['Unknown'],['Unknown']
63780,63780,Unknown (skeletal remains),Central America,Unknown,0.0,1.0,U.S./Mexico Border,2016-05-17,Pima County Office of the Medical Examiner,Verified,32.16702,-111.43136000000001,['Unknown'],['Unknown']
63781,63781,Unknown (skeletal remains),Unknown,Unknown,0.0,1.0,U.S./Mexico Border,2016-05-22,Pima County Office of the Medical Examiner,Verified,32.35183,-112.95991599999999,['Unknown'],['Unknown']
63782,63782,Unknown (skeletal remains),Unknown,Unknown,0.0,1.0,U.S./Mexico Border,2016-05-25,Pima County Office of the Medical Examiner,Verified,31.82115,-110.18449,['Unknown'],['Unknown']
64178,64178,Bronchopneumonia,Unknown,Unknown,0.0,1.0,Central America & Mexico,2016-05-18,La Prensa,Partially Verified,10.06666551,-84.61666736,['Unknown'],['Medical/Illness']
64577,64577,Drowning,Central America,Unknown,0.0,1.0,U.S./Mexico Border,2016-05-29,La Voz,Partially Verified,32.7053266,-115.05857649999999,['Unknown'],['Drowning/Asphyxiation']
64977,64977,Drowning,Unknown,"Egypt, Ethiopia, Eritrea, Sudan, Comoros",329.0,10.0,Mediterranean,2016-06-02,IOM Greece,Verified,33.66615256,25.07097028,"['Comoros', 'Egypt', 'Eritrea', 'Ethiopia', 'Sudan']",['Drowning/Asphyxiation']
65378,65378,drowning,Sub-Saharan Africa,Unknown,0.0,1.0,Mediterranean,2015-11-19,El Diario,Partially Verified,36.5941684,-3.53200644,['Unknown'],['Drowning/Asphyxiation']
65379,65379,Hit by train,Central America,Unknown,0.0,1.0,Central America & Mexico,2014-07-31,Imagen del Golfo,Partially Verified,18.53911668,-96.60600645,['Unknown'],['Vehicular/Mechanical']
65777,65777,Likely suffocation (found dead in a truck),MENA,Afghanistan,0.0,1.0,Europe,2015-12-27,El Siglo de Torreon,Partially Verified,51.01635195,2.39943772,['Afghanistan'],"['Drowning/Asphyxiation', 'Vehicular/Mechanical']"
65778,65778,Fell from train,Central America & Mexico,Unknown,0.0,1.0,Central America & Mexico,2014-10-11,InfoNogales,Partially Verified,30.54229242,-111.12099070000001,['Unknown'],['Vehicular/Mechanical']
66177,66177,Drowning,MENA,Algerian,0.0,1.0,Mediterranean,2016-02-15,Spanish Ministry of the Interior via IOM Spain,Verified,35.99591955,-5.606000646,['Algeria'],['Drowning/Asphyxiation']
66178,66178,Drowning,Sub-Saharan Africa,"Cameroon (2) Gambia (1), Mauritius (1), Ivory Coast (2)",6.0,0.0,Mediterranean,2016-04-15,Asociación Pro Derechos Humanos de Andalucía (APDHA),Verified,36.71789535,-3.5289789610000004,"['Cameroon', ""Cote d'Ivoire"", 'Gambia', 'Mauritius']",['Drowning/Asphyxiation']
66179,66179,Drowning,Unknown,Unknown,3.0,0.0,Mediterranean,2016-04-23,Asociación Pro Derechos Humanos de Andalucía (APDHA),Verified,36.64193341,-2.178977745,['Unknown'],['Drowning/Asphyxiation']
66181,66181,Drowning,Sub-Saharan Africa,Unknown,10.0,10.0,North Africa,2016-05-10,Asociación Pro Derechos Humanos de Andalucía (APDHA),Verified,27.44312007,-14.64234553,['Unknown'],['Drowning/Asphyxiation']
66182,66182,Drowning,MENA,Syria,0.0,1.0,Europe,2016-06-02,AP,Partially Verified,46.12930146,20.05177896,['Syria'],['Drowning/Asphyxiation']
66183,66183,,Sub-Saharan Africa,Unknown,0.0,1.0,Mediterranean,2016-06-06,2M.ma,Partially Verified,35.17586019,-2.935815921,['Unknown'],['Unknown']
66577,66577,,Unknown,Unknown,20.0,0.0,Mediterranean,2016-03-06,Asociación Pro Derechos Humanos de Andalucía (APDHA),Verified,36.82865274,-2.461843753,['Unknown'],['Unknown']
66579,66579,Drowning,Unknown,Unknown,0.0,1.0,Mediterranean,2016-05-04,Asociación Pro Derechos Humanos de Andalucía (APDHA),Verified,35.28058146,-2.92616345,['Unknown'],['Drowning/Asphyxiation']
66581,66581,Drowning,Sub-Saharan Africa,Ivory Coast and Guinea Conakry,57.0,0.0,North Africa,2016-05-12,Asociación Pro Derechos Humanos de Andalucía (APDHA),Verified,27.7235891,-14.24447695,"[""Cote d'Ivoire"", 'Guinea']",['Drowning/Asphyxiation']
66582,66582,Drowning,Caribbean,Cuba,0.0,1.0,Caribbean,2016-06-06,Miami Actualidad,Partially Verified,18.05921041,-67.83736398,['Cuba'],['Drowning/Asphyxiation']
66977,66977,Hit by train,Central America,Unknown,0.0,1.0,Central America & Mexico,2016-03-19,Imagen de Veracruz,Partially Verified,19.05015723,-96.39045138,['Unknown'],['Vehicular/Mechanical']
66978,66978,Drowning,Central America & Mexico,Unknown,0.0,1.0,U.S./Mexico Border,2016-04-07,El Manana,Partially Verified,26.07400662,-98.24272579,['Unknown'],['Drowning/Asphyxiation']
67377,67377,Hit by train,Central America,Unknown,0.0,1.0,Central America & Mexico,2016-03-19,Imagen de Veracruz,Partially Verified,19.05015723,-96.39045138,['Unknown'],['Vehicular/Mechanical']
67378,67378,Fell from train,Central America,Unknown,0.0,1.0,Central America & Mexico,2016-05-08,Sucesos los Tuxtlas,Partially Verified,17.85591119,-95.03238403,['Unknown'],['Vehicular/Mechanical']
67379,67379,Heart Attack,Central America,Guatemala,0.0,1.0,Central America & Mexico,2015-10-25,60 Minutos,Partially Verified,17.99587792,-94.54755904,['Guatemala'],['Medical/Illness']
67777,67777,Hypothermia,Central America,Honduras,0.0,1.0,Central America & Mexico,2016-06-03,El Heroico,Partially Verified,17.266665600000003,-90.99999891,['Honduras'],['Exposure']
67778,67778,Plane Stowaway,Unknown,Unknown,0.0,1.0,Europe,2016-06-06,Medias de Bruxelles,Verified,50.85044794,4.348776537,['Unknown'],['Unknown']
68177,68177,,Unknown,Unknown,0.0,2.0,Mediterranean,2016-06-08,IOM Italy,Verified,33.87227228,13.1151112,['Unknown'],['Unknown']
68178,68178,Vehicle accident,Central America & Mexico,Unknown,0.0,1.0,U.S./Mexico Border,2016-06-08,AP,Partially Verified,32.72531833,-114.6243965,['Unknown'],['Vehicular/Mechanical']
68179,68179,,Unknown,Unknown,0.0,1.0,Mediterranean,2016-06-11,DPA,Partially Verified,34.04643178,13.87816228,['Unknown'],['Unknown']
